1158;8457;doc2563;2014-06-01 23:23:34
1158;10536;doc15704;2014-06-09 11:53:04
1158;10667;doc49187;2014-06-09 20:08:58
993;994;doc2016;2014-05-14 12:14:14
993;13684;doc49187;2016-10-31 09:34:50
13602;13603;doc2016;2015-10-17 12:46:43
2918;2919;doc2016;2014-05-22 22:40:51
2918;2921;docNULL;2014-05-22 22:43:38
2918;7643;doc2563;2014-05-30 23:04:14
2918;7661;doc15704;2014-05-30 23:27:12
1792;1793;doc2016;2014-05-20 22:51:10
1792;2383;docNULL;2014-05-21 22:41:28
1792;7951;doc2563;2014-05-31 22:06:53
1792;7978;doc15704;2014-05-31 23:00:27
1792;10052;doc14;2014-06-07 11:46:25
1792;10585;doc49187;2014-06-09 15:53:36
13471;13472;doc2016;2014-09-14 14:43:26
1151;1152;doc2016;2014-05-19 17:58:50
1151;2815;docNULL;2014-05-22 21:16:24
1151;7816;doc2563;2014-05-31 16:11:31
1151;7887;doc15704;2014-05-31 18:39:16
1151;10398;doc49187;2014-06-08 19:59:13
1151;11888;webcollagerestNULL;2014-06-14 20:52:45
1151;13035;doc8412;2014-06-23 18:32:44
1151;13069;doc14;2014-06-24 19:51:18
1099;1100;doc2016;2014-05-19 16:47:54
1099;1148;docNULL;2014-05-19 17:58:37
1099;5044;doc2563;2014-05-26 12:08:40
1099;5264;doc15704;2014-05-26 19:01:41
1099;8201;doc14;2014-06-01 16:12:26
1099;8262;doc49187;2014-06-01 18:09:12
1099;12150;webcollagerestNULL;2014-06-15 20:05:31
1099;12305;doc8412;2014-06-16 19:14:30
13695;13696;doc2016;2017-02-19 08:40:35
6914;6915;doc2016;2014-05-29 15:18:33
6914;6970;docNULL;2014-05-29 16:56:59
2389;2390;doc2016;2014-05-21 22:43:17
2389;2408;docNULL;2014-05-21 22:58:39
2389;10602;doc2563;2014-06-09 17:13:45
2389;10607;doc15704;2014-06-09 17:28:53
2389;10616;doc49187;2014-06-09 18:05:47
2389;12190;webcollagerestNULL;2014-06-15 22:43:05
1956;1957;doc2016;2014-05-21 12:43:55
1956;1960;docNULL;2014-05-21 12:46:25
4566;4567;doc2016;2014-05-25 16:24:14
4566;4681;doc4726;2014-05-25 19:54:38
4566;4733;docNULL;2014-05-25 21:16:00
13220;13221;doc2016;2014-07-02 15:24:21
13220;13248;docNULL;2014-07-03 14:37:03
13220;13253;doc10100;2014-07-03 15:34:46
3542;5297;docNULL;2014-05-26 19:56:58
3542;6706;doc2563;2014-05-28 21:04:37
3542;6861;doc15704;2014-05-29 11:11:06
3542;9508;doc49187;2014-06-05 10:32:10
3542;13316;doc8412;2014-07-11 13:15:37
2399;2400;doc2016;2014-05-21 22:49:11
2399;2405;docNULL;2014-05-21 22:54:16
6918;6919;doc2016;2014-05-29 15:48:16
1069;1070;doc2016;2014-05-19 16:02:07
9815;10092;docNULL;2014-06-07 16:24:35
9815;10331;doc2563;2014-06-08 16:17:10
9815;11947;doc15704;2014-06-14 23:49:57
9815;12630;doc49187;2014-06-19 12:17:02
9815;13010;doc14;2014-06-23 13:23:09
9815;13018;NULL;2014-06-23 15:33:39
2552;2553;doc2016;2014-05-22 08:15:18
2552;2580;docNULL;2014-05-22 10:35:47
4873;4874;doc2016;2014-05-26 03:00:03
4873;10941;doc10100;2014-06-11 05:23:26
1557;1558;doc2016;2014-05-20 17:52:13
1557;3510;docNULL;2014-05-23 18:07:07
1557;5228;doc2563;2014-05-26 18:23:56
8814;8815;doc2016;2014-06-03 11:04:50
2491;2492;doc2016;2014-05-22 00:13:38
2491;3538;docNULL;2014-05-23 19:04:49
2491;10225;doc2563;2014-06-08 01:54:10
2491;10722;doc15704;2014-06-09 22:20:20
2491;12826;doc49187;2014-06-20 19:56:56
5301;5302;doc2016;2014-05-26 20:01:01
5301;5498;docNULL;2014-05-26 23:26:08
5301;6294;doc2563;2014-05-27 23:44:30
1063;1064;doc2016;2014-05-19 15:55:02
10248;10249;doc2016;2014-06-08 11:54:24
